Symbol,name,Name,Sector,industry,Summary Quote
PIH,"1347 property insurance holdings, inc.","1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 flowers.com, inc.","1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st constitution bancorp (nj),1st Constitution Bancorp (NJ),Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st source corporation,1st Source Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,"21vianet group, inc.","21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,"2u, inc.","2U, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,"51job, inc.","51job, Inc.",Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 energy partners lp,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 inc,8x8 Inc,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,"a v homes, inc.","A V Homes, Inc.",Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,"a. schulman, inc.","A. Schulman, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,"aaon, inc.","AAON, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,"abaxis, inc.","ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,abeona therapeutics inc.,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,abeona therapeutics inc.,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,ability inc.,Ability Inc.,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,"abiomed, inc.","ABIOMED, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,abraxas petroleum corporation,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,ac immune sa,AC Immune SA,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,"acacia communications, inc.","Acacia Communications, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,acacia research corporation,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,"acadia healthcare company, inc.","Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,acadia pharmaceuticals inc.,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,"acasti pharma, inc.","Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,"accelerate diagnostics, inc.","Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,"accelerated pharma, inc.","Accelerated Pharma, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,acceleron pharma inc.,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,access national corporation,Access National Corporation,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,accuray incorporated,Accuray Incorporated,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,"acelrx pharmaceuticals, inc.","AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,aceto corporation,Aceto Corporation,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,"achaogen, inc.","Achaogen, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHN,"achillion pharmaceuticals, inc.","Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,"aci worldwide, inc.","ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,"aclaris therapeutics, inc.","Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,acnb corporation,ACNB Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,"acorda therapeutics, inc.","Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
ATVI,"activision blizzard, inc","Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,actua corporation,Actua Corporation,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,acxiom corporation,Acxiom Corporation,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,"adamas pharmaceuticals, inc.","Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,adamis pharmaceuticals corporation,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,adaptimmune therapeutics plc,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,addus homecare corporation,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,"addvantage technologies group, inc.","ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,adesto technologies corporation,Adesto Technologies Corporation,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,adma biologics inc,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,adobe systems incorporated,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADTN,"adtran, inc.","ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,"aduro biotech, inc.","Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,advanced accelerator applications s.a.,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,"advanced emissions solutions, inc.","Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,"advanced energy industries, inc.","Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,"advanced micro devices, inc.","Advanced Micro Devices, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,"advaxis, inc.","Advaxis, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,"advaxis, inc.","Advaxis, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,"adverum biotechnologies, inc.","Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
MAUI,advisorshares market adaptive unconstrained income etf,AdvisorShares Market Adaptive Unconstrained Income ETF,n/a,n/a,http://www.nasdaq.com/symbol/maui
AEGN,aegion corp,Aegion Corp,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,"aeglea biotherapeutics, inc.","Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEHR,aehr test systems,Aehr Test Systems,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,"aemetis, inc","Aemetis, Inc",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AERI,"aerie pharmaceuticals, inc.","Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,"aerovironment, inc.","AeroVironment, Inc.",Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,aeterna zentaris inc.,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,"aethlon medical, inc.","Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
GNMX,"aevi genomic medicine, inc.","Aevi Genomic Medicine, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AFMD,affimed n.v.,Affimed N.V.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AGEN,agenus inc.,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,"agile therapeutics, inc.","Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,"agilysys, inc.","Agilysys, Inc.",Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,"agios pharmaceuticals, inc.","Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,agnc investment corp.,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,agnc investment corp.,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCP,agnc investment corp.,AGNC Investment Corp.,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGFS,"agrofresh solutions, inc.","AgroFresh Solutions, Inc.",Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,"agrofresh solutions, inc.","AgroFresh Solutions, Inc.",Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
AIMT,"aimmune therapeutics, inc.","Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRM,air methods corporation,Air Methods Corporation,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm
AIRT,"air t, inc.","Air T, Inc.",Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,"air transport services group, inc","Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AIRG,"airgain, inc.","Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,airmedia group inc,AirMedia Group Inc,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKAM,"akamai technologies, inc.","Akamai Technologies, Inc.",Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,akari therapeutics plc,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKBA,"akebia therapeutics, inc.","Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,akers biosciences inc,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"akorn, inc.","Akorn, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"akoustis technologies, inc.","Akoustis Technologies, Inc.",Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALRM,"alarm.com holdings, inc.","Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,"alaska communications systems group, inc.","Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
AMRI,"albany molecular research, inc.","Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri
ALBO,"albireo pharma, inc.","Albireo Pharma, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,alcentra capital corp.,Alcentra Capital Corp.,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,alcobra ltd.,Alcobra Ltd.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,"alder biopharmaceuticals, inc.","Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"aldeyra therapeutics, inc.","Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,"alexion pharmaceuticals, inc.","Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALCO,"alico, inc.","Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,"align technology, inc.","Align Technology, Inc.",Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,"alimera sciences, inc.","Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"alj regional holdings, inc.","ALJ Regional Holdings, Inc.",Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,alkermes plc,Alkermes plc,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ABTX,"allegiance bancshares, inc.","Allegiance Bancshares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,allegiant travel company,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
AIQ,"alliance healthcare services, inc.","Alliance HealthCare Services, Inc.",Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AHGP,"alliance holdings gp, l.p.","Alliance Holdings GP, L.P.",Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AMMA,"alliance mma, inc.","Alliance MMA, Inc.",Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
ARLP,"alliance resource partners, l.p.","Alliance Resource Partners, L.P.",Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,"allied healthcare products, inc.","Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,"allied motion technologies, inc.","Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,"alliqua biomedical, inc.","Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,allot communications ltd.,Allot Communications Ltd.,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,"allscripts healthcare solutions, inc.","Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,almost family inc,Almost Family Inc,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,"alnylam pharmaceuticals, inc.","Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,alpha and omega semiconductor limited,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,alphabet inc.,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,alphabet inc.,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,alphamark actively managed small cap etf,AlphaMark Actively Managed Small Cap ETF,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"alphatec holdings, inc.","Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
SWIN,alps/dorsey wright sector momentum etf,ALPS/Dorsey Wright Sector Momentum ETF,n/a,n/a,http://www.nasdaq.com/symbol/swin
ASPS,altisource portfolio solutions s.a.,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
AIMC,altra industrial motion corp.,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,"amag pharmaceuticals, inc.","AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,amarin corporation plc,Amarin Corporation plc,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,"a-mark precious metals, inc.","A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AYA,amaya inc.,Amaya Inc.,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya
AMZN,"amazon.com, inc.","Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,"ambac financial group, inc.","Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,"ambac financial group, inc.","Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,"ambarella, inc.","Ambarella, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,amc networks inc.,AMC Networks Inc.,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,amdocs limited,Amdocs Limited,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,amedica corporation,Amedica Corporation,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,amedisys inc,Amedisys Inc,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,amerco,Amerco,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ATAX,"america first multifamily investors, l.p.","America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,"america movil, s.a.b. de c.v.","America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,"american airlines group, inc.","American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,"american capital senior floating, ltd.","American Capital Senior Floating, Ltd.",n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,"american electric technologies, inc.","American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,"american national bankshares, inc.","American National Bankshares, Inc.",Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,american national insurance company,American National Insurance Company,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,american outdoor brands corporation,American Outdoor Brands Corporation,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
APEI,"american public education, inc.","American Public Education, Inc.",Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,"american railcar industries, inc.","American Railcar Industries, Inc.",Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
AMRB,american river bankshares,American River Bankshares,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMSWA,"american software, inc.","American Software, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,american superconductor corporation,American Superconductor Corporation,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,american woodmark corporation,American Woodmark Corporation,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,"america&#39;s car-mart, inc.","America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,ameris bancorp,Ameris Bancorp,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,"amerisafe, inc.","AMERISAFE, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,ameriserv financial inc.,AmeriServ Financial Inc.,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,ameriserv financial inc.,AmeriServ Financial Inc.,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,ames national corporation,Ames National Corporation,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,amgen inc.,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,"amicus therapeutics, inc.","Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,"amkor technology, inc.","Amkor Technology, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPH,"amphastar pharmaceuticals, inc.","Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
IBUY,amplify online retail etf,Amplify Online Retail ETF,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
ASYS,"amtech systems, inc.","Amtech Systems, Inc.",Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,"amtrust financial services, inc.","AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,"amyris, inc.","Amyris, Inc.",Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ADI,"analog devices, inc.","Analog Devices, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,analogic corporation,Analogic Corporation,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANAB,"anaptysbio, inc.","AnaptysBio, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
AVXL,anavex life sciences corp.,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl
ANCB,anchor bancorp,Anchor Bancorp,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANDA,andina acquisition corp. ii,Andina Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAR,andina acquisition corp. ii,Andina Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/andar
ANDAU,andina acquisition corp. ii,Andina Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,andina acquisition corp. ii,Andina Acquisition Corp. II,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,"angie&#39;s list, inc.","Angie&#39;s List, Inc.",Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,"angiodynamics, inc.","AngioDynamics, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,"ani pharmaceuticals, inc.","ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,anika therapeutics inc.,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,"ansys, inc.","ANSYS, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,"antares pharma, inc.","Antares Pharma, Inc.",Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,"anthera pharmaceuticals, inc.","Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
ABAC,"aoxin tianli group, inc.","Aoxin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
APOG,"apogee enterprises, inc.","Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APEN,"apollo endosurgery, inc.","Apollo Endosurgery, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apen
AINV,apollo investment corporation,Apollo Investment Corporation,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AMEH,"apollo medical holdings, inc.","Apollo Medical Holdings, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/ameh
APPF,"appfolio, inc.","AppFolio, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
AAPL,apple inc.,Apple Inc.,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,"appliance recycling centers of america, inc.","Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
APDN,applied dna sciences inc,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
APDNW,applied dna sciences inc,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdnw
AGTC,applied genetic technologies corporation,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
AMAT,"applied materials, inc.","Applied Materials, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AAOI,"applied optoelectronics, inc.","Applied Optoelectronics, Inc.",Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AREX,approach resources inc.,Approach Resources Inc.,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APTI,"apptio, inc.","Apptio, Inc.",Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti
APRI,"apricus biosciences, inc.","Apricus Biosciences, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
APVO,aptevo therapeutics inc.,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apvo
APTO,"aptose biosciences, inc.","Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apto
AQMS,"aqua metals, inc.","Aqua Metals, Inc.",Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/aqms
AQB,"aquabounty technologies, inc.","AquaBounty Technologies, Inc.",n/a,n/a,http://www.nasdaq.com/symbol/aqb
AQXP,"aquinox pharmaceuticals, inc.","Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aqxp
ARDM,aradigm corporation,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ardm
ARLZ,aralez pharmaceuticals inc.,Aralez Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arlz
PETX,"aratana therapeutics, inc.","Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/petx
ABUS,arbutus biopharma corporation,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abus
ARCW,"arc group worldwide, inc.","ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/arcw
ABIO,"arca biopharma, inc.","ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/abio
RKDA,"arcadia biosciences, inc.","Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/rkda
ARCB,arcbest corporation,ArcBest Corporation,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/arcb
ACGL,arch capital group ltd.,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/acgl
